QID
370315
10211
66038
38399
74066
86454
86403
43080
66003
10180
10128
70006
15033
27258
50006
66034
10957
70011
86376
86062
86414
10825
86610
10827
10895
10894
86520
10960
10858
86401
86435
86415
27234
19063
43027
38248
50051
50050
10796
10797
10786
10798
10629
10775
74106
115868
12263
116792
121507
86877
86864
121588
122794
11609
124722
11618
11608
1028
90496
110068
43527
43528
350744
350016
350009
350918
351054
